type,label,clics,impressions,ctr_pct,position
page,/,37,673,5.5,6.1
page,/en/prk-vs-femto-lasik/,0,376,0.0,12.6
page,/tarifs/,2,343,0.58,12.1
page,/rendez-vous/,2,287,0.7,8.5
page,/sports-de-contact-et-laser/,9,162,5.56,15.4
page,/en/femto-lasik-vs-icl/,3,142,2.11,11.2
page,/presbytie/,0,125,0.0,19.9
page,/en/,1,117,0.85,5.5
page,/pkr/,3,109,2.75,9.2
page,/femtolasik/,1,99,1.01,34.2
page,/en/prelex/,1,98,1.02,15.5
page,/icl/,1,91,1.1,13.1
page,/mentions-legales/,5,83,6.02,9.6
page,/nl/,9,72,12.5,4.3
page,/bilan/,1,66,1.52,11.8
page,/pkr-vs-femtolasik/,0,55,0.0,16.0
page,/nl/afspraak/,1,53,1.89,8.8
page,/en/icl/,1,53,1.89,22.0
page,/en/appointment/,0,53,0.0,7.5
page,/laser-yeux-grossesse/,0,52,0.0,7.9
page,/cataracte/,0,50,0.0,23.8
page,/en/myopia/,1,49,2.04,11.9
page,/nl/femto-lasik/,0,42,0.0,21.0
page,/en/hyperopia/,0,40,0.0,23.1
page,/en/laser-eyes-pregnancy/,0,37,0.0,14.9
page,/astigmatisme/,2,34,5.88,14.6
page,/ozempic-mounjaro-yeux/,0,33,0.0,7.7
page,/en/cataract/,1,32,3.12,11.0
page,/femtolasik-vs-icl/,0,32,0.0,7.8
page,/nl/verziendheid/,0,32,0.0,46.9
page,/nl/prelex/,0,31,0.0,10.9
page,/myopie/,1,30,3.33,24.5
page,/nl/prk-vs-femto-lasik/,0,27,0.0,20.7
page,/risques-laser/,0,26,0.0,17.5
page,/en/preoperative-exam/,0,24,0.0,13.2
page,/en/femto-lasik/,0,24,0.0,16.4
page,/en/laser-risks/,0,22,0.0,13.2
page,/en/prk/,1,21,4.76,19.0
page,/en/astigmatism/,0,21,0.0,9.9
page,/prelex/,0,20,0.0,27.6
page,/nl/laser-risicos/,0,15,0.0,12.3
page,/nl/bijziendheid/,0,15,0.0,19.4
page,/nl/icl/,0,13,0.0,9.8
page,/nl/laser-ogen-zwangerschap/,1,12,8.33,8.9
page,/en/presbyopia/,0,12,0.0,8.9
page,/nl/staaroperatie/,0,12,0.0,10.6
page,/hypermetropie/,0,11,0.0,6.0
page,/nl/prk/,0,11,0.0,18.8
page,/nl/presbyopie/,0,11,0.0,33.5
page,/en/legal/,1,8,12.5,21.0
page,/en/consultation-locations/,0,7,0.0,8.6
page,/nl/wettelijke-vermeldingen/,0,7,0.0,10.9
page,/nl/femto-lasik-vs-icl/,0,7,0.0,18.0
page,/nl/vooronderzoek/,1,6,16.67,8.3
page,/nl/astigmatisme/,0,6,0.0,20.0
page,/confidentialite/,0,6,0.0,20.8
page,/en/privacy/,0,6,0.0,22.2
page,/nl/privacy/,0,1,0.0,69.0
requete,serdal sanak,3,98,3.06,5.1
requete,meilleur spécialiste en chirurgie de la presbytie à bruxelles,0,92,0.0,11.3
requete,prk vs femto lasik,0,67,0.0,23.9
requete,dr sanak,5,55,9.09,5.4
requete,prelex,0,52,0.0,24.6
requete,femto lasik,0,49,0.0,46.8
requete,sanak,0,43,0.0,7.6
requete,implant myopique bruxelles,0,39,0.0,16.9
requete,chirurgie cataracte bruxelles,0,32,0.0,23.7
requete,lasik sport de combat,0,21,0.0,15.5
requete,opération myopie bruxelles,0,21,0.0,27.1
requete,sanak serdal,1,20,5.0,6.2
requete,femto lasik vs prk,0,20,0.0,16.9
requete,dr serdal sanak avis,2,18,11.11,8.6
requete,opération myopie prix belgique,0,17,0.0,20.4
requete,hypermetropie,0,17,0.0,74.1
requete,femto-lasik,0,16,0.0,28.5
requete,serdal sanak ophtalmologue,0,15,0.0,8.2
requete,trans prk vs femto lasik,0,15,0.0,33.4
requete,femtolasik,0,14,0.0,26.0
requete,prk vs femto lasik which is better,0,13,0.0,11.1
requete,dr serdal sanak,0,10,0.0,8.2
requete,augen lasern kampfsport,0,10,0.0,88.3
requete,docteur sanak,0,9,0.0,6.2
requete,prix chirurgie refractive,0,8,0.0,27.5
requete,prk,0,8,0.0,35.0
requete,pkr laser,0,8,0.0,51.8
requete,implant icl staar,0,7,0.0,23.3
requete,icl operation myopie,0,7,0.0,29.0
requete,serdal,0,6,0.0,8.0
requete,prelexin,0,6,0.0,9.8
requete,femto laser,0,6,0.0,23.5
requete,opération laser yeux bruxelles prix,0,5,0.0,9.8
requete,cataract brussel,0,5,0.0,11.6
requete,chirurgie laser bruxelles,0,5,0.0,17.8
requete,laser femto,0,5,0.0,34.4
requete,chirurgie femtolasik,0,5,0.0,35.2
requete,presbyopie behandeling,0,5,0.0,41.8
requete,femtolasik vs prk,0,4,0.0,11.2
requete,chirurgie pkr,0,4,0.0,18.0
requete,pkr chirurgie,0,4,0.0,19.2
requete,staar surgical,2,3,66.67,6.7
requete,"""staar surgical""",0,3,0.0,7.7
requete,dr. serdal sanak,0,3,0.0,9.3
requete,myopisering,0,3,0.0,9.3
requete,difference between prk and femto lasik,0,3,0.0,10.7
requete,chirurgie lasik prix,0,3,0.0,12.0
requete,difference between femto lasik and prk,0,3,0.0,13.7
requete,lasik femto,0,3,0.0,30.3
requete,astigmate opération prix,0,3,0.0,42.3
requete,staar surgical nidau,0,3,0.0,53.7
requete,opération yeux myopie prix belgique,0,2,0.0,10.5
requete,femto vs prk,0,2,0.0,11.5
requete,icl staar,0,2,0.0,12.0
requete,ophtalmologue spécialisé en chirurgie réfractive à bruxelles,0,2,0.0,26.0
requete,femto side profile,0,2,0.0,33.0
requete,prelex cost,0,2,0.0,35.0
requete,myopie chirurgie,0,2,0.0,53.0
requete,prk laser,0,2,0.0,65.5
requete,correction presbytie,0,2,0.0,71.5
requete,laser yeux effets secondaires,0,2,0.0,87.5
requete,a bruxelles,0,1,0.0,1.0
requete,brussels,0,1,0.0,1.0
requete,j'habite en belgique,0,1,0.0,1.0
requete,myope et astigmate,0,1,0.0,1.0
requete,cataracte,0,1,0.0,2.0
requete,myope,0,1,0.0,2.0
requete,traits rouges dans les yeux,0,1,0.0,2.0
requete,latent hyperopia,0,1,0.0,3.0
requete,tarifs,0,1,0.0,3.0
requete,ايهما افضل,0,1,0.0,3.0
requete,oui,0,1,0.0,4.0
requete,astigmatisme et myopie,0,1,0.0,5.0
requete,g bata do,0,1,0.0,6.0
requete,prix opération myopie belgique,0,1,0.0,6.0
requete,dr sanak delta,0,1,0.0,7.0
requete,מה זה יכול להיות,0,1,0.0,7.0
requete,cout chirurgie refractive,0,1,0.0,8.0
requete,opération laser yeux belgique prix,0,1,0.0,9.0
requete,pkr after:2026-05-21,0,1,0.0,9.0
requete,claire sanak,0,1,0.0,10.0
requete,examen de la cornée,0,1,0.0,10.0
requete,lasik,0,1,0.0,10.0
requete,prix lasik,0,1,0.0,10.0
requete,prk surgeons near me,0,1,0.0,10.0
requete,lasik cout,0,1,0.0,11.0
requete,opération yeux belgique prix,0,1,0.0,11.0
requete,prix chirurgie refractive yeux,0,1,0.0,11.0
requete,prix opération yeux laser belgique,0,1,0.0,11.0
requete,staar surgical evo icl,0,1,0.0,11.0
requete,chirurgie yeux laser prix,0,1,0.0,12.0
requete,operation des yeux pour la vue prix belgique,0,1,0.0,12.0
requete,prk vs femto,0,1,0.0,12.0
requete,femto phako laser,0,1,0.0,13.0
requete,lasik regression,0,1,0.0,14.0
requete,prk lasik,0,1,0.0,14.0
requete,"surgical headlight near=brussels -wiki -youtube -tiktok -amazon 
-""made-in-china"" -alibaba",0,1,0.0,16.0
requete,compare,0,1,0.0,17.0
requete,chirurgie laser yeux bruxelles-ville,0,1,0.0,18.0
requete,how do people with astigmatism see,0,1,0.0,20.0
requete,prk vs femtolasik,0,1,0.0,22.0
